smiles,group,CYP1A2-sub
C=C(NC)C(=O)O,training,0
O=P(O)(O)O[C@@H]1C(O)[C@H](OP(=O)(O)O)[C@@H](O)C(O)[C@H]1O,training,0
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2n[nH]c(-c3ccc(Cl)s3)n2)C1=O,training,0
O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,training,0
C1CCN(C2CCNCC2)CC1,training,0
c1ccc([C@@H]2CO2)cc1,training,0
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,training,0
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](CC(C)C)NC(=O)c1ccc(N)cc1,training,0
CC(C)C[C@H](N)P(=O)(O)O,training,0
OCCOCCOCCO,training,0
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2CCC[C@H]3[C@H]1C5,training,0
CSCC[C@@H](NC(=O)CCC(=O)O)C(=O)O,training,0
O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,training,0
Cc1c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)ccc(OCCCC(=O)O)c1C,training,0
CN(C)C[C@@H](O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,training,0
CN(CC[C@H](N)CC(=O)N[C@H]1C=C[C@H](N2C=C[C@@](N)(O)NC2=O)O[C@@H]1C(=O)O)C(=N)N,training,0
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,training,0
CCOC(=O)c1c(C)nn(-c2cccc([N+](=O)[O-])c2)c1C,training,0
N[C@@H](C[SeH](=O)=O)C(=O)O,training,0
OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,training,0
CCOC(=O)c1c(C)nn(-c2ccc(N)cc2)c1C,training,0
O=c1ncccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,training,0
O=c1ccn([C@@H]2O[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)[C@H](O)[C@H]2O)c(=O)[nH]1,training,0
NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,training,0
CC(=O)[C@@H](O)[C@H](O)COP(=O)(O)O,training,0
CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,training,0
CC1(C)SCCN(S(=O)(=O)c2ccc(OCC#CCN)cc2)[C@H]1C(=O)NO,training,0
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,training,0
O=C(Nc1ccc2[nH]ccc2c1)c1cc(F)cc(N2CCOCC2)c1,training,0
CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1,training,0
Nc1ncnc2c1ncn2CCOCP1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,training,0
CCOC(=O)N1CCC(Nc2cc(C)ccn2)CC1,training,0
N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,training,0
CC(C)(CO)[C@@H](O)C(=O)OP(=O)(O)OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,training,0
O=C(O)c1ccccc1/N=N/c1ccc(O)cc1,training,0
C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(N)=O,training,0
COc1cc(O)c(C(=O)/C=C/c2ccc(O)cc2)cc1CC=C(C)C,training,0
C[C@H](O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,training,0
NCCC(=O)NCC[C@H](N)C(=O)O,training,0
O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(c3ncccn3)CC2)C(=O)N1,training,0
O=C(O)C[C@H]1CC[C@@H](C(=O)O)N1,training,0
OC[C@@H]1[C@H](O)[C@@H](O)[C@H](O)c2nc(-c3ccccc3)cn21,training,0
O=C([O-])c1ccc[nH]1,training,0
OC[C@H](O)CNc1ncnc2[nH]c(-c3ccccc3)c(-c3ccccc3)c12,training,0
Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)n2)n1C(C)C,training,0
Cc1ncc(COP(=O)(O)O)c(CN[C@H](CCC(=O)O)C(=O)O)c1O,training,0
CCC(CC)(CC(=O)Nc1cccc(/C=C/c2nc(C3CCC3)cs2)c1)C(=O)O,training,0
Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21,training,0
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,training,0
Nc1ccc2cc3ccc(N)cc3nc2c1,training,0
NCC(=O)Nc1ccc(OCc2ccccc2)cc1,training,0
C[C@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCN(C)C)cs4)cc3c21,training,0
Cc1ncc(CO)c(C=O)c1O,training,0
COc1cc(CC2=C(N)N=C(N)[N+]=C2)cc(OC)c1OC,training,0
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,training,0
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,training,0
C[C@H]1CN=C(N)c2sccc2O1,training,0
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,training,0
Brc1cnc2c(NCc3cncnc3)cc(-c3ccccc3)cn12,training,0
CCOc1cccc(-c2ccc(NC(=O)/C(C#N)=C(/C)O)cc2)c1,training,0
CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO,training,0
OC[C@@H]1O[C@@H](OCCCCCCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,training,0
CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C,training,0
CCC(CC)NC(=O)C[C@@H](C(N)=O)C(C)(C)C,training,0
O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,training,0
O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1,training,0
CC(C)CCC[C@@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,training,0
CC(C)OP(=O)(O)OC[C@@H](N)C(=O)O,training,0
CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)OC)[C@@H](C)CC,training,0
N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccc1)Cc1ccccc1F,training,0
CC[C@@H](C)[C@H](N)C(=O)O,training,0
O=c1cnn([C@@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)[nH]1,training,0
COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCCC1,training,0
CCCCCCCCCCC1=C(C)C(=O)C(OC)=C(OC)C1=O,training,0
CCOC(O)=N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,training,0
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,0
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccc2c(c1)OCO2)C(=O)O,training,0
O=C(Cc1ccc(O)cc1)Nc1ncc(-c2ccc(O)cc2)nc1Cc1ccccc1,training,0
N[C@@H](CCSC(F)F)C(=O)O,training,0
CCC(=O)N(c1ccccc1F)C1(c2ccccc2)CCN(CCn2nnn(CC)c2=O)CC1,training,0
CN1CCC23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1,training,0
CC(C)NCC(O)COc1cccc2c1C=CC2,training,0
NCCCCN,training,0
Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@H]1O)CN2,training,0
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,training,0
O=C(c1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-],training,0
COc1ccc(-c2ccccc2)cc1N1CC(=O)NS1(=O)=O,training,0
CN1CCN(c2ccccc2C/N=N\C(N)=S)CC1,training,0
Oc1c(Br)cc(-c2nc3ccccc3o2)cc1Br,training,0
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,training,0
CS(=O)(=O)CC[C@@H](N)C(=O)O,training,0
CC(C)CCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,training,0
CCC(N)=O,training,0
CC(=O)CCC(=O)O,training,0
CCOP(=O)(O)OP(=O)(O)O,training,0
NC(=O)[C@@H](CS)NC(=O)CCCCCNC(=O)[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@@H](CC(=O)O)NC(=O)Cc1ccc(C(F)(F)P(=O)(O)O)cc1,training,0
O=C(N/N=C/c1cc(Br)c(O)c(Br)c1O)c1ccc(Cl)cc1,training,0
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,training,0
O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,training,0
O=C(CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O)Nc1cccc(OCCF)c1,training,0
C1=CC2C3=CC=CC4C5C=CC=CN5[Pt](N2C=C1)N34,training,0
C[C@@H](NC(N)=O)C(=O)O,training,0
Cc1ncc([N+](=O)[O-])n1CCO,training,0
O=C1/C(=N\O)c2c(/C=C/c3ccccc3)cccc2N1Cc1cc(F)cc2c1OCOC2,training,0
CC(C)=CCNc1ncnc2[nH]cnc12,training,0
C[C@@H](N)[C@H]1N[C@@H](CN)C(=O)N1CC(=O)O,training,0
O=S(=O)(O)c1ccc(O)c(/N=N/c2c(S(=O)(=O)O)cc3c(S(=O)(=O)O)c(Nc4ncnc(Nc5ccc6c(O)c(/N=N/c7cc(S(=O)(=O)O)ccc7O)c(S(=O)(=O)O)cc6c5S(=O)(=O)O)n4)ccc3c2O)c1,training,0
CN(C)C[C@H](O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,training,0
O=C(O)[C@H](S)[C@H](S)C(=O)O,training,0
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,training,0
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,training,0
CC(C)(C)c1onc([O-])c1C[C@@H]([N+])C(=O)[O-],training,0
O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21,training,0
O=c1ccn([C@@H]2O[C@@H](CO)[C@@H](OP(=O)(O)O)[C@H]2F)c(=O)[nH]1,training,0
OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,training,0
NC(=O)NO,training,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O,training,0
OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,training,0
CNCCNS(=O)(=O)c1cccc2cnccc12,training,0
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CCC4CCC(C(=O)OC)CC4)nc32)[C@H](O)[C@@H]1O,training,0
O=C([O-])[O-],training,0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,training,0
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,training,0
CC(C)[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,training,0
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,training,0
NCC1CCC(C(=O)O)CC1,training,0
O=C(N[C@@H]1Cc2ccccc2NC1=O)c1cc2cc(Cl)sc2[nH]1,training,0
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,training,0
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,training,0
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,training,1
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,training,1
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,training,1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,training,1
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,training,1
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,training,1
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,training,1
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,training,1
Clc1ccc2nsnc2c1NC1=NCCN1,training,1
c1ccc2[nH]c(-c3cscn3)nc2c1,training,1
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,training,1
O=c1[nH]c(=O)n(C2CCCO2)cc1F,training,1
Nc1c2c(nc3ccccc13)CCCC2,training,1
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,training,1
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,training,1
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,training,1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,training,1
Nc1nc2ccc(OC(F)(F)F)cc2s1,training,1
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,training,1
