smiles,group,CYP2C19-sub
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,training,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,training,1
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,training,1
CN1CCC[C@H]1c1cccnc1,training,1
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,training,1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,training,1
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,training,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,training,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,training,1
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,training,1
CN(C)CCCN1c2ccccc2Sc2ccccc21,training,1
Cc1cc(=O)n(-c2ccccc2)n1C,training,1
CNCCC=C1c2ccccc2CCc2ccccc21,training,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,training,1
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,training,1
CN1C(=O)CC(C)(c2ccccc2)C1=O,training,1
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,training,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,training,1
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,training,1
CCCC(CCC)C(=O)O,training,1
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,training,1
CCC1(c2ccccc2)C(=O)NCNC1=O,training,1
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,training,1
CN1C(=O)OC(C)(C)C1=O,training,1
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,training,1
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,training,1
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,training,1
CN(C)CCC=C1c2ccccc2COc2ccccc21,training,1
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,training,1
