smiles,group,CYP2D6-sub
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,training,1
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,training,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,training,1
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,training,1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,training,1
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,training,1
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,training,1
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,training,1
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,training,1
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,training,1
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,training,1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1,training,1
CN1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,training,1
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,training,1
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,training,1
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,training,1
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@@H]2O5,training,1
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,training,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,training,1
CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,training,1
COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,training,1
C[C@H]1O[C@]2(CS1)CN1CCC2CC1,training,1
Oc1nc2cc(Cl)ccc2o1,training,1
CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1,training,1
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,training,1
c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1,training,1
COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,training,1
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,training,1
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,training,1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,1
O=P1(N(CCCl)CCCl)NCCCO1,training,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,1
N=C(N)N1CCc2ccccc2C1,training,1
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,training,1
CNCCCN1c2ccccc2CCc2ccccc21,training,1
COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,training,1
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,training,1
COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,training,1
CN(C)CC/C=C1/c2ccccc2COc2ccccc21,training,1
COc1ccc(C(=O)Nc2ccccc2CC[C@H]2CCCCN2C)cc1,training,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,training,1
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,training,1
O=C(NC[C@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,training,1
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,training,1
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,training,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,training,1
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,training,1
N=C(N)NC[C@@H]1COc2ccccc2O1,training,1
CCCCN(CCCC)CC[C@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,training,1
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,training,1
FC(F)(F)[C@H](Cl)Br,training,1
COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,training,1
CN(C)CCCN1c2ccccc2CCc2ccccc21,training,1
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,training,1
C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,training,1
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,training,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,training,1
CNCCCC12CCC(c3ccccc31)c1ccccc12,training,1
c1ccc2c(c1)Sc1ccccc1N2C[C@H]1CN2CCC1CC2,training,1
CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,training,1
CO/N=C\C1=CCCN(C)C1,training,1
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,training,1
CN1CCN2c3ccccc3Cc3cccnc3[C@@H]2C1,training,1
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,training,1
CCc1c(C)[nH]c2c1C(=O)[C@@H](CN1CCOCC1)CC2,training,1
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,training,1
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,training,1
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,training,1
CN1CCC[C@H]1c1cccnc1,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@]314,training,1
CNCCC=C1c2ccccc2CCc2ccccc21,training,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,training,1
Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,training,1
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,training,1
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,training,1
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,training,1
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,training,1
