smiles,group,Carcinogenicity
ClCCOCCCl,training,0
OCCNCCO,training,0
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,training,0
C=CCCl,training,0
N[C@H](CCC(=O)O)C(=O)O,training,0
OC[C@H]1O[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H]1O,training,0
NC(CCC(=O)O)C(=O)O,training,0
CCNc1nc(Cl)nc(NCC)n1,training,0
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,training,0
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,training,1
CC(=O)OCN=[N+](C)[O-],training,1
Cc1cc(/N=N/c2c(O)ccc3ccccc23)c(S(=O)(=O)[O-])cc1Cl,training,1
ClCCN(CCCl)c1ccc2ccccc2c1,training,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,training,1
CCOS(=O)(=O)OCC,training,1
CCOS(C)(=O)=O,training,1
Cc1cc(=O)[nH]c(=S)[nH]1,training,1
C[C@H]1CN(N=O)C[C@H](C)O1,training,1
O=C1c2ccccc2C(=O)c2ccccc21,training,1
O=NN1CCOC1,training,1
O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,training,1
OCC(Br)CBr,training,1
Nc1nc(=S)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,training,1
c1ccc(-c2ccccc2)cc1,training,1
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,training,1
C/C=C/c1ccc2c(c1)OCO2,training,1
C#C[C@@]1(O)CC[C@]2(C)[C@]1(C)CC[C@]1(C)c3ccc(OC)cc3CC[C@]12C,training,1
C#C[C@@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,training,1
CN(C)CCN(C)N=O,training,1
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,training,0
CC(C)=NNc1ncc(-c2ccc([N+](=O)[O-])o2)s1,training,1
CC(C)=NO,training,1
C=CC(OC(C)=O)c1ccc2c(c1)OCO2,training,1
CC(=O)Nc1ccc(-c2ccccc2)cc1,training,1
CC(=O)Nc1cccc2c1Cc1ccccc1-2,training,0
CC(=O)Nc1cccc2c1-c1ccccc1C2,training,0
C=CC(OCC)OCC,training,0
C=C/C=N/O,training,0
COc1cc2c(c3c1c(=O)c1ccccc1n3C)C=CC(C)(C)O2,training,1
C=CC(N)=O,training,1
C=CC(=O)O,training,0
C=CC#N,training,1
NC(=O)CCCCC(N)=O,training,0
COc1cc2c(c3oc(=O)c4c(c13)CC[C@H]4O)[C@@H]1C=CO[C@H]1O2,training,1
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,training,1
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,training,1
CNC(=O)O/N=C/C(C)(C)SC,training,0
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H](C4C=C[C@H]3C4)C1(Cl)C2(Cl)Cl,training,0
CCCCCCCCCC[N+](C)(C)[O-],training,0
NC(=O)NC1NC(=O)NC1=O,training,0
C=CCO,training,0
C=CCN=C=S,training,1
C=CCOC(=O)CC(C)C,training,1
C=CCN(N=O)C(N)=O,training,1
Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O,training,1
CCn1c2ccccc2c2cc(N)ccc21,training,1
NC(N)=Nc1nc(CSCCNc2nsnc2N)cs1,training,1
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,training,1
Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,training,1
Nc1ncc([N+](=O)[O-])s1,training,1
NC1=NC(=O)C(c2ccccc2)O1,training,0
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,training,1
Cc1cc(N=Nc2ccccc2C)ccc1N,training,1
NCCCCCC(=O)O,training,0
NCC1(CC(=O)O)CCCCC1,training,1
NCCCCCCCCCCC(=O)O,training,1
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],training,0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,training,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,training,0
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,training,0
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,training,1
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,training,1
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,training,1
O=C1OC(C(O)CO)C([O-])=C1O,training,0
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,training,0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,0
CCNc1nc(Cl)nc(NC(C)C)n1,training,1
CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,0
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,training,1
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,training,1
Nc1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,training,0
N#[N+]/C=C(\[O-])OC[C@H](N)C(=O)O,training,1
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,training,0
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,training,0
c1ccc(N=Nc2ccccc2)cc1,training,1
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,training,1
CCOCCc1c(-c2ccccc2)nc(N)n2ncnc12,training,1
O=C(O)C1=C/C(=N/Nc2ccc(C(=O)O)cc2)C=CC1=O,training,0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,training,1
c1ccc2occc2c1,training,1
Nc1nc(N)nc(-c2ccccc2)n1,training,0
O=C(c1ccccc1)C(O)c1ccccc1,training,0
c1ccc2n[nH]nc2c1,training,0
Oc1ccc(Cl)cc1Cc1ccccc1,training,0
NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1,training,1
Nc1ccccc1-c1ccccc1,training,0
CC(CCl)OC(C)CCl,training,0
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,training,0
CC(O)CNCC(C)O,training,0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,training,0
CC(=O)Nc1ccc(S(=O)(=O)[O-])c2c1C(=O)/C(=N/Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c3ccc(S(=O)(=O)[O-])cc13)C(S(=O)(=O)[O-])=C2,training,0
Nc1ccc(N=Nc2ccc(-c3ccc(N=Nc4c(S(=O)(=O)[O-])cc5c(c4N)C(=O)/C(=N/Nc4ccccc4)C(S(=O)(=O)[O-])=C5)cc3)cc2)c(N)c1,training,1
Nc1cc(S(=O)(=O)[O-])cc2c1C(=O)/C(=N/Nc1ccc(-c3ccc(N/N=C4\C(=O)c5c(N)cc(S(=O)(=O)[O-])cc5C=C4S(=O)(=O)[O-])cc3)cc1)C(S(=O)(=O)[O-])=C2,training,1
COc1cc(-c2ccc(N/N=C3\C(=O)c4c(N)cc(S(=O)(=O)[O-])cc4C=C3S(=O)(=O)[O-])c(OC)c2)ccc1N/N=C1\C(=O)c2c(N)cc(S(=O)(=O)[O-])cc2C=C1S(=O)(=O)[O-],training,1
CC(C)(C)O,training,1
CCCCCl,training,0
CCCCN(CCCCO)N=O,training,1
CCCCN(N=O)/C(N)=N/[N+](=O)[O-],training,0
CCCCNC(N)=O,training,0
CC1CC(=O)O1,training,1
O=C1CCCO1,training,0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,training,0
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,training,0
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,training,0
O=C1CCCCCN1,training,0
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,training,1
CNC(=O)Oc1cccc2ccccc12,training,1
NC(=O)N(CC(=O)O)N=O,training,1
CCC(Br)(CC)C(=O)NC(N)=O,training,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,training,0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,training,0
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,training,0
ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H](C[C@@H](Cl)[C@@H]3Cl)C1(Cl)C2(Cl)Cl,training,0
O=C(O)[C@@H]1[C@H](C(=O)O)[C@@]2(Cl)C(Cl)=C(Cl)[C@]1(Cl)C2(Cl)Cl,training,1
CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,training,1
