smiles,group,DILI
CC(=O)OCC[N+](C)(C)C,training,0
C[N+](C)(C)CC(=O)[O-],training,0
NCCCCCC(=O)O,training,0
CS(C)=O,training,0
CC(C)(CO)C(O)C(=O)NCCC(=O)O,training,0
NC(=O)c1cnccn1,training,1
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,training,0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,training,1
Nc1c2c(nc3ccccc13)CCCC2,training,0
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,training,1
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,training,0
NC12CC3CC(CC(C3)C1)C2,training,0
NCCCNCCSP(=O)(O)O,training,0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,training,0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,training,0
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,training,1
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,training,1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,0
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,training,1
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,training,1
CC(Cc1ccccc1)N(C)Cc1ccccc1,training,0
CC(C[N+](C)(C)C)OC(N)=O,training,0
OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,training,0
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,training,1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,training,0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,training,0
CS(=O)(=O)OCCCCOS(C)(=O)=O,training,1
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,training,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,training,1
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,training,0
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,training,0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,training,1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,training,1
OC(O)C(Cl)(Cl)Cl,training,0
O=c1[nH]c2cc(Cl)ccc2o1,training,1
Cc1cc(C2CCCCC2)n(O)c(=O)c1,training,0
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,training,0
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,training,1
Clc1cccc(Cl)c1NC1=NCCN1,training,1
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,training,1
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,training,1
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,training,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,1
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,training,0
CNCCCN1c2ccccc2CCc2ccccc21,training,0
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,training,0
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,training,1
OCC(S)CS,training,1
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,training,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,training,1
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,training,0
CC(O)(P(=O)(O)O)P(=O)(O)O,training,0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,training,1
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,training,0
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,training,0
O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,training,1
Nc1[nH]c(=O)ncc1F,training,1
O=c1[nH]cc(F)c(=O)[nH]1,training,1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,training,0
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,training,1
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,training,1
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,training,0
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,training,1
NC(N)=NCCN1CCCCCCC1,training,0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,training,1
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,training,0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,training,1
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,training,0
Cc1cc(C(=O)NNCc2ccccc2)no1,training,1
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,training,0
CNC1(c2ccccc2Cl)CCCCC1=O,training,0
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,training,1
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,training,1
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,training,1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,training,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,training,0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,training,1
CNCCCC12CCC(c3ccccc31)c1ccccc12,training,0
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,training,1
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,training,0
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,training,0
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,training,1
Cc1ncc([N+](=O)[O-])n1CCO,training,1
N=c1nc(N2CCCCC2)cc(N)n1O,training,0
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,training,1
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,training,0
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,training,1
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,training,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,training,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],training,1
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,training,1
CN1Cc2c(N)cccc2C(c2ccccc2)C1,training,1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,training,1
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,training,1
CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1,training,1
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,training,0
NCCC(O)(P(=O)(O)O)P(=O)(O)O,training,0
