smiles,group,F(20%)
N[C@@H](CCS)C(=O)O,training,1
CC(=O)N[C@H](CS)C(=O)O,training,0
C[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)O,training,1
O=C(O)C(S)C(S)C(=O)O,training,1
CC(C)(S)[C@H](N)C(=O)O,training,1
CCCc1cc(=O)[nH]c(=S)[nH]1,training,1
S=c1nc[nH]c2nc[nH]c12,training,0
Nc1nc(=S)c2[nH]cnc2[nH]1,training,1
Cn1cc[nH]c1=S,training,1
CCOC(=O)n1ccn(C)c1=S,training,0
S=C=Nc1cccc2ccccc12,test,1
CCCc1cc(C(N)=S)ccn1,val,1
CCc1cc(C(N)=S)ccn1,test,1
CC(=O)OC[C@H]1O[C@@H](S)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,val,1
OC[C@H](S)CS,training,0
C[C@H](S)C(=O)NCC(=O)O,training,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,training,1
NCCCNCCSP(=O)(O)O,training,1
CN(C)c1ccc(CSCCNC(=O)c2ccc[n+]([O-])c2)o1,training,1
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,training,1
CNCc1ccc(CSCCN/C(=N/[N+](=O)[O-])NC)o1,training,1
CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,training,1
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,training,0
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,training,0
N[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,training,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,training,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,training,0
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21,training,0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C/N)C[C@H]12,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@@H]2SC1,training,0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,training,1
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,test,1
CSC[C@H](NC(=O)COc1nccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C,training,1
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,training,1
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,training,1
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,training,1
CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,training,1
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,training,0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,training,1
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,training,0
CS(=O)(=O)OCCCCOS(C)(=O)=O,training,1
CCOC(Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,training,1
CC1(C)O[C@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]23)O1,training,1
CS(=O)(=O)OC[C@H](O)[C@H](O)COS(C)(=O)=O,training,1
