smiles,group,Pgp-sub
CN=C(O)O/N=C/C(C)(C)SC,training,0
NC12CC3CC(CC(C3)C1)C2,training,0
C=C[C@H](N)CCC(=O)O,training,0
CCC[C@H]1CO[C@@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,training,0
ClC1=C(Cl)[C@@]2(Cl)[C@@H]3[C@H]([C@H]4C[C@H]3[C@H]3O[C@H]43)[C@@]1(Cl)C2(Cl)Cl,training,0
COC(=O)/C=C(\C)OP(=O)(OC)OC,training,0
O=NN(CCCl)C(O)=NCCCl,training,0
CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,training,0
CSc1nc(O)c(C#N)c(-c2ccc(C)cc2)n1,training,0
O=C([O-])C1(C(=O)[O-])CCC1,training,0
CC1=C[C@@H](C)[C@@H](C)N(CC2=NCCN2)c2ccccc21,training,0
N#Cc1c2c(c(-c3cccs3)n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c1=S)CCc1ccccc1-2,training,0
CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,training,0
C=C[C@@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,training,0
COC(O)=Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,training,0
S=C1/C(=N/c2ccccc2)N(c2ccccc2)C(=Nc2cccc[n+]2Cc2ccccc2)N1c1ccccc1,training,0
CS(=O)(=O)c1c(N)c2nc(Cl)cn2c2nc3ccccc3nc12,training,0
CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,training,0
CCCCN1C(=O)C(=C/C=C/C=C2\Oc3ccccc3N2CCCS(=O)(=O)O)C(=O)N(CCCC)C1=O,training,0
O=C(N=c1cc[nH]cc1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12,training,0
N=c1[nH]c2nc(=N)c(-c3ccccc3)nc-2c(N)[nH]1,training,0
Cc1ccc(/C(=C/CN2CCCC2)c2ccccn2)cc1,training,0
N=c1ccn([C@@H]2CO[C@@H](CO)O2)c(O)n1,training,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,training,0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3c4ccccc4nc4c(C(O)=NNCCO)cccc34)cc2)n1,training,0
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,training,0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,training,0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,training,0
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@@]2(O)O[C@@](N=C(O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,training,0
CC(=O)OC[C@@H]1O[C@H](n2c3c(cc(C#N)c2=O)CCCCCC3)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,training,0
C#C[C@H](CC(=O)O)N=C(O)CN1CCc2ccc(N3CCNCC3)cc2C1=O,training,0
C[C@H](CCC(O)=NCCC[N+](C)(C)CCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C[C@H](O)[C@]21C,training,0
CN(C)CCCCN1CCc2c(n(C)c3ccccc23)C1=O,training,0
COc1ccccc1NS(=O)(=O)c1cc(C(C)(C)C)ccc1OCCOc1ccc(C(C)(C)C)cc1S(=O)(=O)Nc1ccccc1OC,training,0
COc1ccccc1[C@H]1SCC(=O)N1c1ccc(-c2ccc(-n3c(-c4ccccc4)nc4ccccc4c3=O)cc2)cc1,training,0
C[C@@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,training,0
