smiles,group,Respiratory
NCCC(=O)N[C@H](Cc1cnc[nH]1)C(=O)O,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)CSc3ccncc3)[C@H]2SC1,training,0
O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,training,0
O=C(/C=C/c1ccc(O)cc1)C1=C(O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2=C(C1=O)C1OC(CO)C(O)C(O)C1O2,training,0
COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,training,0
N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,training,0
Cc1ccc(C(=O)CCN2CCN(c3ccccc3)CC2)cc1,training,0
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1ccc(Br)cc1,training,0
NC(=O)OC[C@@H](O)COc1ccc2c(c1)CCCC2,training,0
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],training,0
CCCCOCC(O)COCCCC,training,0
CCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(C)c4ccc(Cl)cc43)cc2)cc1,training,0
O=C(COc1cccc2ccccc12)N1CC1,training,0
C1COCCO1,training,0
O=C1CC(c2ccc(OCOc3ccc(C4CC(=O)NC4=O)cc3)cc2)C(=O)N1,training,0
CSc1nn2c(=O)c3c(nc2s1)sc1ccccc13,training,0
O=c1c2cc(-c3ccccc3)sc2nc2scc(-c3ccc(Br)cc3)n12,training,0
CCOC(=O)c1sc2nc3cc(-c4ccc(Cl)cc4)sc3c(=O)n2c1C,training,0
CCCCn1c(-c2ccc(CC)cc2)cn2c3c(=O)n(C)c(=O)n(C)c3nc12,training,0
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,training,0
COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1[C@@H](NC(=O)c1ccccc1)CC2,training,0
O=C(COc1ccc(Cl)cc1)OCCN1CCOCC1,training,0
O=C1C(=O)N(Cc2ccccc2)c2ccc(Br)cc21,training,0
CCCCOP1(=O)OC(C)(C)C[C@]1(C)O,training,0
O=C1/C(=C\C=C\c2ccccc2)SC(=S)N1CN(CCO)CCO,training,0
O=C1/C(=C\c2cccc(F)c2)SC(=S)N1CN1CCOCC1,training,0
O=c1[nH]nc(-c2ccccc2)s1,training,0
O=C1CC(c2ccccc2)C(=O)N1C1CCCCC1,training,0
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,training,0
O=c1ccc(N2CCOCC2)nn1-c1ccccc1,training,0
CC(C)[C@H]1C[C@@H](C)OC1=O,training,0
