smiles,malaria,group
C(=C/c1ccc([C@H]2[C@H]3CN(Cc4nccs4)C[C@@H]2N3)cc1)\c1ccccc1,1,val
C(=C/c1ccc([C@@H]2[C@H]3CN(Cc4nccs4)C[C@@H]2N3)cc1)\c1ccccc1,0,training
CC(=O)N1CC[C@@H]2[C@H]1c1cc(C#Cc3ccccc3F)ccc1N[C@H]2CO,0,val
CC(=O)N1CC[C@@H]2[C@@H](CO)Nc3ccc(C#Cc4ccccc4F)cc3[C@@H]21,1,val
CC(=O)N1CC[C@@H]2[C@H](CO)Nc3ccc(C#Cc4ccccc4F)cc3[C@@H]21,0,val
C[C@@H](C(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@H](C)CO)C[C@H]1C)c1ccccc1,1,test
C[C@H]1CN([C@@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@H]1CN(C)C(=O)[C@H](C)c1ccccc1,1,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)[C@H](C)c2ccccc2)OCc2ccccc2-c2c(n(C)c3ccccc23)C1=O,1,training
C[C@@H](C(=O)N(C)C[C@@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@H](C)CO)C[C@H]1C)c1ccccc1,1,training
C[C@H](C(=O)N(C)C[C@@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@@H](C)CO)C[C@@H]1C)c1ccccc1,1,test
C[C@H](C(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@@H](C)CO)C[C@H]1C)c1ccccc1,0,training
C[C@H](C(=O)N(C)C[C@@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@@H](C)CO)C[C@H]1C)c1ccccc1,0,training
C[C@H](C(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@H](C)CO)C[C@H]1C)c1ccccc1,0,training
C[C@H](C(=O)N(C)C[C@@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@H](C)CO)C[C@H]1C)c1ccccc1,0,training
C[C@H](C(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@@H](C)CO)C[C@@H]1C)c1ccccc1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@H]1CN(C)C(=O)[C@H](C)c1ccccc1,1,training
C[C@H](C(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@H](C)CO)C[C@@H]1C)c1ccccc1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@@H]1CN(C)C(=O)[C@H](C)c1ccccc1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@@H]1CN(C)C(=O)[C@H](C)c1ccccc1,1,training
CC(C)(C)[S@](=O)N1Cc2cc(C(=O)NC3CCC3)nc(-c3cccc(Br)c3)c2[C@@H]1CCO,1,training
CC(C)(C)[S@@](=O)N1Cc2cc(C(=O)NC3CCC3)nc(-c3cccc(Br)c3)c2[C@H]1CCO,0,val
CC(C)(C)[S@](=O)N1Cc2cc(C(=O)N[C@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4cccnc4)c3)c2[C@H]1CCO,0,training
CC(C)(C)[S@@](=O)N1Cc2cc(C(=O)N[C@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4cccnc4)c3)c2[C@@H]1CCO,0,training
CC(C)(C)[S@@](=O)N1Cc2cc(C(=O)N[C@@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4cccnc4)c3)c2[C@@H]1CCO,1,training
CC(C)(C)[S@](=O)N1Cc2cc(C(=O)N[C@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4ccncc4)c3)c2[C@H]1CCO,0,training
CC(C)(C)[S@@](=O)N1Cc2cc(C(=O)N[C@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4ccncc4)c3)c2[C@@H]1CCO,0,training
CC(C)(C)[S@@](=O)N1Cc2cc(C(=O)N[C@@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4ccncc4)c3)c2[C@@H]1CCO,1,training
CC(C)(C)[S@](=O)N1Cc2cc(C(=O)N[C@@H]3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4ccncc4)c3)c2[C@H]1CCO,0,training
CC(C)(C)[S@@](=O)N1Cc2cc(C(=O)NCCc3ccncc3)nc(-c3cccc(-c4ccccc4)c3)c2[C@@H]1CCO,0,training
CC(C)(C)[S@](=O)N1Cc2cc(C(=O)NCCc3ccncc3)nc(-c3cccc(-c4ccccc4)c3)c2[C@H]1CCO,1,training
CC(C)(O)C#Cc1ccc([C@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc(F)cc4)C[C@H]23)cc1,0,training
CC(C)(O)C#Cc1ccc([C@@H]2[C@H]3CN(C(=O)c4ccc(F)cc4)CCCCN3[C@H]2CO)cc1,0,training
CC(C)(O)C#Cc1ccc([C@@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc(F)cc4)C[C@@H]23)cc1,0,val
CC(C)(O)C#Cc1ccc([C@@H]2[C@H](CO)N3CCCCN(C(=O)c4ccc(F)cc4)C[C@@H]23)cc1,0,training
CC(C)(O)C#Cc1ccc([C@@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc(F)cc4)C[C@H]23)cc1,0,training
CC(C)(O)C#Cc1ccc([C@H]2[C@H]3CN(C(=O)c4ccc(F)cc4)CCCCN3[C@H]2CO)cc1,0,training
CC(C)(O)C#Cc1ccc([C@H]2[C@H](CO)N3CCCCN(C(=O)c4ccc(F)cc4)C[C@@H]23)cc1,1,training
